关键词,7天展示量,流量占比,流量分布(自然),流量分布(广告),展示位置,自然排名,自然排名(页码-页内排名),抓取时间,sp广告排名,sp广告排名(页码-页内排名),抓取时间,关键词排名,周搜索量,Top3 点击份额,Top3 购买份额
ice maker frigidaire,29,0.02%,0%,100%,"SP,SOR",-,-,-,12,P2-6,美03月13日 16:12,418333,438,79.17%,71.43%
silonn countertop ice maker,29,0.02%,55%,45%,"自然,SP",34,P3-2,美03月27日 21:43,6,P1-6,美03月27日 21:43,889480,198,84.91%,100.00%
counter ice machine,29,0.02%,10%,90%,"自然,SP",37,P3-5,美03月29日 20:50,6,P1-6,美03月29日 20:50,464600,393,86.44%,100.00%
iced,28,0.02%,4%,96%,"自然,SP",109,P3-13,美03月29日 00:17,8,P1-8,美03月29日 00:17,829767,214,100.00%,0.00%
ice marker,28,0.02%,0%,100%,SP,-,-,-,1,P1-1,美03月25日 21:41,911184,193,91.67%,100.00%
large ice cube maker,27,0.02%,74%,26%,"自然,SP,HR",82,P2-34,美03月30日 00:02,24,P2-12,美03月30日 00:02,775749,229,100.00%,100.00%
small ice cube maker,27,0.02%,44%,56%,"自然,SP,HR",38,P3-6,美03月30日 17:18,18,P3-6,美03月06日 17:01,468020,390,45.16%,66.67%
home ice maker,26,0.02%,77%,23%,"自然,HR",38,P3-6,美03月30日 19:18,-,-,-,627321,287,66.67%,50.00%
silonn ice makers countertop,24,0.02%,29%,71%,"自然,SP,HR",44,P3-12,美03月28日 09:46,5,P1-5,美03月11日 16:41,145115,1312,87.77%,93.07%
whiskey ice maker,24,0.02%,0%,100%,SP,-,-,-,18,P2-6,美03月28日 21:48,565870,320,91.44%,100.00%
ice sphere maker,21,0.02%,0%,100%,SP,-,-,-,19,P2-7,美03月30日 16:43,440677,415,52.94%,20.00%
ice makers countertop frigidaire,21,0.02%,0%,100%,SP,-,-,-,2,P1-2,美03月27日 22:06,938270,187,75.00%,100.00%
mini ice cube maker,20,0.02%,100%,0%,"自然,SP,HR",32,P2-16,美03月27日 21:28,17,P3-5,美03月03日 18:53,854411,207,60.00%,0.00%
counter top ice makers,20,0.02%,0%,100%,"SP,HR",-,-,-,6,P1-6,美03月29日 23:00,634741,284,61.28%,0.00%
round ice cube maker,20,0.02%,0%,100%,SP,-,-,-,24,P2-12,美03月28日 09:39,143079,1332,40.65%,47.83%
insignia ice makers countertop,20,0.02%,0%,100%,"自然,SP",43,P3-11,美03月19日 22:10,2,P1-2,美03月27日 22:24,980089,178,100.00%,100.00%
aglucky countertop ice maker,18,0.02%,0%,100%,SP,-,-,-,3,P1-3,美03月27日 21:42,886856,199,100.01%,100.00%
ice dispenser,17,0.01%,0%,100%,HR,-,-,-,-,-,-,681844,263,92.00%,0.00%
rv ice maker,16,0.01%,0%,100%,"自然,SP",54,P3-6,美03月22日 20:52,6,P1-6,美03月29日 23:50,750565,238,85.71%,100.00%
